date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:30	3808/3808	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-ee0%22	https://gtfobins.github.io/gtfobins/mount/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/mount/index.html	(from https://gtfobins.github.io/)
15:17:31	5904/5904	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1710%22	https://gtfobins.github.io/gtfobins/nano/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/nano/index.html	(from https://gtfobins.github.io/)
15:17:32	6653/6653	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-19fd%22	https://gtfobins.github.io/gtfobins/nc/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/nc/index.html	(from https://gtfobins.github.io/)
15:17:32	4045/4045	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-fcd%22	https://gtfobins.github.io/gtfobins/mtr/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/mtr/index.html	(from https://gtfobins.github.io/)
15:17:33	4478/4478	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-117e%22	https://gtfobins.github.io/gtfobins/mv/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/mv/index.html	(from https://gtfobins.github.io/)
15:17:34	10817/10817	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-2a41%22	https://gtfobins.github.io/gtfobins/nmap/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/nmap/index.html	(from https://gtfobins.github.io/)
15:17:34	5189/5189	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1445%22	https://gtfobins.github.io/gtfobins/mysql/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/mysql/index.html	(from https://gtfobins.github.io/)
15:17:35	6949/6949	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-1b25%22	https://gtfobins.github.io/gtfobins/node/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/node/index.html	(from https://gtfobins.github.io/)
15:17:36	9115/9115	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-239b%22	https://gtfobins.github.io/gtfobins/openssl/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/openssl/index.html	(from https://gtfobins.github.io/)
15:17:36	6121/6121	---M-Z	200	added ('OK')	text/html	etag:W/%225d4a8041-17e9%22	https://gtfobins.github.io/gtfobins/perl/	C:/Users/Auriga/Downloads/gtfobins/gtfobins/gtfobins.github.io/gtfobins/perl/index.html	(from https://gtfobins.github.io/)
